sep=,
"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C1","Латинские буквы в email","Test LastTest","7/27/2022 6:58 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:17 PM"
"C2","Цифры в email","Test LastTest","7/27/2022 7:18 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:19 PM"
"C3","Знак ! в email","Test LastTest","7/27/2022 7:20 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:22 PM"
"C4","Знак # в email","Test LastTest","7/27/2022 7:23 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:25 PM"
"C5","Знак $ в email","Test LastTest","7/27/2022 7:25 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:26 PM"
"C6","Знак & в email","Test LastTest","7/27/2022 7:26 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:27 PM"
"C7","Знак ' в email","Test LastTest","7/27/2022 7:27 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:29 PM"
"C8","Знак * в email","Test LastTest","7/27/2022 7:29 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:31 PM"
"C9","Знак + в email","Test LastTest","7/27/2022 7:32 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:33 PM"
"C10","Знак — в email (БАГ)","Test LastTest","7/27/2022 7:34 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/31/2022 2:05 PM"
"C11","Знак / в email","Test LastTest","7/27/2022 7:39 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:39 PM"
"C12","Знак = в email","Test LastTest","7/27/2022 7:42 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:43 PM"
"C13","Знак ? в email","Test LastTest","7/27/2022 7:43 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:44 PM"
"C14","Знак ^ в email","Test LastTest","7/27/2022 7:44 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:45 PM"
"C15","Знак _ в email","Test LastTest","7/27/2022 7:45 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:46 PM"
"C16","Знак ` в email","Test LastTest","7/27/2022 7:46 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:47 PM"
"C17","Знак { в email","Test LastTest","7/27/2022 7:47 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:48 PM"
"C18","Знак | в email","Test LastTest","7/27/2022 7:48 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:49 PM"
"C19","Знак } в email","Test LastTest","7/27/2022 7:49 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:50 PM"
"C20","Знак ~ в email","Test LastTest","7/27/2022 7:51 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:52 PM"
"C21","Точка в начале email (ошибка)","Test LastTest","7/27/2022 7:52 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/31/2022 2:22 PM"
"C22","Точка в конце email (ошибка)","Test LastTest","7/27/2022 7:54 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/31/2022 2:23 PM"
"C23","Точка в email (не первая и не последняя)","Test LastTest","7/27/2022 7:55 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 7:56 PM"
"C24","Имя хоста состоит из нескольких компонентов, разделённых точкой","Test LastTest","7/27/2022 8:00 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 8:01 PM"
"C25","Имя хоста состоит из символов превышающих 63 символа","Test LastTest","7/27/2022 8:01 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 8:03 PM"
"C26","Имя хоста состоит из нескольких компонентов, разделённых точкой и превышающих 63 символа","Test LastTest","7/27/2022 8:04 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/27/2022 8:05 PM"
"C27","*@*.ru","Test LastTest","7/31/2022 2:12 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/31/2022 2:15 PM"
"C28","*@*.net","Test LastTest","7/31/2022 2:14 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/31/2022 2:15 PM"
"C29","*@*.n","Test LastTest","7/31/2022 2:15 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/31/2022 2:22 PM"
"C30","*@*.! (ошибка)","Test LastTest","7/31/2022 2:16 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/31/2022 2:22 PM"
"C31","*@*.9 (БАГ)","Test LastTest","7/31/2022 2:18 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/31/2022 2:19 PM"
"C32","*@-aaa.ru (ошибка)","Test LastTest","7/31/2022 2:23 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/31/2022 2:26 PM"
"C33","вася@aaa.ru (БАГ)","Test LastTest","7/31/2022 2:26 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/31/2022 2:28 PM"
"C34","aaa@вася.ru (БАГ)","Test LastTest","7/31/2022 2:28 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/31/2022 2:29 PM"
"C35","aaa@aaa.ру (БАГ)","Test LastTest","7/31/2022 2:29 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/31/2022 2:30 PM"
"C36","aaa@999.ru","Test LastTest","7/31/2022 2:33 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/31/2022 2:34 PM"
"C37","aaa@999.ru (ошибка)","Test LastTest","7/31/2022 2:34 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/31/2022 2:37 PM"
"C38","口@465456.ru (ошибка)","Test LastTest","7/31/2022 2:39 PM","","","Medium","","Регистрация email (text box)","1","","Master","S1","Other","Test LastTest","7/31/2022 2:39 PM"
